p_c,nu,loss,delta_loss,log10_one_plus_delta_loss
0.08066666666666666,3.316666666666667,1266.4681158239948,1239.9106538915694,3.0937405132322215
0.08066666666666666,3.3645833333333335,1307.9937756010147,1281.4363136685893,3.1080358070711345
0.08066666666666666,3.4125,1349.301216034502,1322.7437541020765,3.1218039239632076
0.08066666666666666,3.4604166666666667,1390.3642816661006,1363.8068197336752,3.1350711839328436
0.08066666666666666,3.5083333333333333,1431.159843529374,1404.6023815969486,3.147862484339214
0.08066666666666666,3.55625,1471.6675065516204,1445.110044619195,3.1602013427181443
0.08066666666666666,3.6041666666666665,1511.8693464104194,1485.311884477994,3.1721099504040673
0.08066666666666666,3.652083333333333,1551.7496726223487,1525.1922106899233,3.183609232691754
0.08066666666666666,3.7,1591.294815026328,1564.7373530939026,3.194718912467413
0.08066666666666666,3.747916666666667,1630.4929311591186,1603.9354692266932,3.20545757510714
0.08066666666666666,3.7958333333333334,1669.333832312906,1642.7763703804806,3.215842733084853
0.08066666666666666,3.84375,1707.8088263198838,1681.2513643874584,3.225890889208702
0.08066666666666666,3.8916666666666666,1745.910575332245,1719.3531133998194,3.235617597757192
0.08066666666666666,3.939583333333333,1783.6329670613445,1757.075505128919,3.2450375230453057
0.08066666666666666,3.9875,1820.9709981114315,1794.413536179006,3.254164495140446
0.08066666666666666,4.035416666666666,1857.9206681940275,1831.363206261602,3.263011562585608
0.08066666666666666,4.083333333333333,1894.4788841416987,1867.9214222092733,3.271591042085999
0.08066666666666666,4.13125,1930.6433727567596,1904.0859108243342,3.2799145651852135
0.08066666666666666,4.179166666666666,1966.412601633607,1939.8551397011815,3.2879931220054885
0.08066666666666666,4.227083333333334,2001.7857071845035,1975.228245252078,3.295837102158998
0.08066666666666666,4.275,2036.762429179245,2010.2049672468195,3.3034563329578432
0.08066666666666666,4.322916666666667,2071.3430511806464,2044.785589248221,3.310860115062445
0.08066666666666666,4.370833333333334,2105.52834632107,2078.9708843886447,3.3180572557137955
0.08066666666666666,4.41875,2139.3195279216984,2112.762065989273,3.3250560996963263
0.08066666666666666,4.466666666666667,2172.7182045062896,2146.1607425738644,3.3318645581762105
