d,p,batch,batch_shots,failure_count,failure_rate
7,0.02,52,1000,2,0.002
7,0.02,53,1000,2,0.002
7,0.02,54,1000,0,0.0
7,0.02,55,1000,1,0.001
7,0.02,56,1000,2,0.002
7,0.02,57,1000,1,0.001
7,0.02,58,1000,0,0.0
7,0.02,59,1000,0,0.0
7,0.02,60,1000,0,0.0
7,0.02,61,1000,0,0.0
7,0.02,62,1000,0,0.0
7,0.02,63,1000,0,0.0
7,0.02,64,1000,0,0.0
7,0.02,65,1000,0,0.0
7,0.02,66,1000,0,0.0
7,0.02,67,1000,0,0.0
7,0.02,68,1000,2,0.002
7,0.02,69,1000,0,0.0
7,0.02,70,1000,0,0.0
7,0.02,71,1000,1,0.001
7,0.02,72,1000,0,0.0
7,0.02,73,1000,0,0.0
7,0.02,74,1000,0,0.0
7,0.02,75,1000,0,0.0
7,0.02,76,1000,1,0.001
7,0.02,77,1000,0,0.0
7,0.02,78,1000,0,0.0
7,0.02,79,1000,1,0.001
7,0.02,80,1000,1,0.001
7,0.02,81,1000,0,0.0
7,0.02,82,1000,1,0.001
7,0.02,83,1000,0,0.0
7,0.02,84,1000,1,0.001
7,0.02,85,1000,0,0.0
7,0.02,86,1000,0,0.0
7,0.02,87,1000,0,0.0
7,0.02,88,1000,0,0.0
7,0.02,89,1000,0,0.0
7,0.02,90,1000,0,0.0
7,0.02,91,1000,0,0.0
7,0.02,92,1000,0,0.0
7,0.02,93,1000,1,0.001
7,0.02,94,1000,0,0.0
7,0.02,95,1000,0,0.0
7,0.02,96,1000,0,0.0
7,0.02,97,1000,0,0.0
7,0.02,98,1000,0,0.0
7,0.02,99,1000,0,0.0
7,0.02,100,1000,0,0.0
7,0.025,1,1000,1,0.001
7,0.025,2,1000,0,0.0
7,0.025,3,1000,0,0.0
7,0.025,4,1000,0,0.0
7,0.025,5,1000,2,0.002
7,0.025,6,1000,0,0.0
7,0.025,7,1000,1,0.001
7,0.025,8,1000,1,0.001
7,0.025,9,1000,0,0.0
7,0.025,10,1000,1,0.001
7,0.025,11,1000,1,0.001
7,0.025,12,1000,1,0.001
7,0.025,13,1000,1,0.001
7,0.025,14,1000,1,0.001
7,0.025,15,1000,0,0.0
