construction,error_channel,logical_observable,distance,p_x,p_z,shots,master_seed,series_seed,logical_failures,logical_failure_rate,logical_failure_standard_error,logical_state,boundary_orientation,clock
as,x_only,logical_x,15,0.064,0.0,50000,1235,2626298694903912375,25022,0.50044,0.002236067111694101,plus,x_ns,gate_layer
as,x_only,logical_x,15,0.066,0.0,50000,1235,2626298694903912375,24778,0.49556,0.00223597981386237,plus,x_ns,gate_layer
as,x_only,logical_x,15,0.068,0.0,50000,1235,2626298694903912375,24975,0.4995,0.0022360668594655214,plus,x_ns,gate_layer
as,x_only,logical_x,15,0.07,0.0,50000,1235,2626298694903912375,24956,0.49912,0.0022360645142750243,plus,x_ns,gate_layer
as,x_only,logical_x,15,0.072,0.0,50000,1235,2626298694903912375,24974,0.49948,0.0022360667682339006,plus,x_ns,gate_layer
as,x_only,logical_x,15,0.074,0.0,50000,1235,2626298694903912375,24749,0.49498,0.0022359552750446507,plus,x_ns,gate_layer
as,x_only,logical_x,15,0.076,0.0,50000,1235,2626298694903912375,24850,0.497,0.002236027727913945,plus,x_ns,gate_layer
as,x_only,logical_x,15,0.078,0.0,50000,1235,2626298694903912375,24972,0.49944,0.0022360665750375142,plus,x_ns,gate_layer
as,x_only,logical_x,15,0.08,0.0,50000,1235,2626298694903912375,24850,0.497,0.002236027727913945,plus,x_ns,gate_layer
as,x_only,logical_x,15,0.082,0.0,50000,1235,2626298694903912375,24958,0.49916,0.002236064821958433,plus,x_ns,gate_layer
as,x_only,logical_x,15,0.084,0.0,50000,1235,2626298694903912375,25087,0.50174,0.002236054437619979,plus,x_ns,gate_layer
as,x_only,logical_x,15,0.086,0.0,50000,1235,2626298694903912375,24992,0.49984,0.0022360678630131063,plus,x_ns,gate_layer
as,x_only,logical_x,15,0.088,0.0,50000,1235,2626298694903912375,24813,0.49626,0.0022360054221758946,plus,x_ns,gate_layer
as,x_only,logical_x,15,0.09,0.0,50000,1235,2626298694903912375,24944,0.49888,0.0022360623676454107,plus,x_ns,gate_layer
as,x_only,logical_x,15,0.092,0.0,50000,1235,2626298694903912375,25062,0.50124,0.002236061101132972,plus,x_ns,gate_layer
as,x_only,logical_x,15,0.094,0.0,50000,1235,2626298694903912375,24895,0.4979,0.0022360482552932527,plus,x_ns,gate_layer
as,x_only,logical_x,15,0.096,0.0,50000,1235,2626298694903912375,24878,0.49756,0.00223604135203265,plus,x_ns,gate_layer
as,x_only,logical_x,15,0.098,0.0,50000,1235,2626298694903912375,25053,0.50106,0.0022360629526021847,plus,x_ns,gate_layer
as,x_only,logical_x,15,0.1,0.0,50000,1235,2626298694903912375,25010,0.5002,0.0022360677986143444,plus,x_ns,gate_layer
